adapter_a,adapter_b,alpha,eval_stage,mean_task_exact_match,predict_exact_match,predict_exact_match_for_SC,predict_exact_match_for_TC,predict_exact_match_for_agnews,predict_exact_match_for_amazon,predict_exact_match_for_dbpedia,predict_exact_match_for_yahoo,predict_rougeL,predict_rougeL_for_SC,predict_rougeL_for_TC,predict_rougeL_for_agnews,predict_rougeL_for_amazon,predict_rougeL_for_dbpedia,predict_rougeL_for_yahoo
logs_and_outputs/l2p/order1_batch1_token100/outputs/1-dbpedia/adapter,logs_and_outputs/l2p/order1_batch1_token100/outputs/4-agnews/adapter,0.0,1-dbpedia,73.5132,73.5132,,73.5132,,,73.5132,,75.3237,,75.3237,,,75.3237,
logs_and_outputs/l2p/order1_batch1_token100/outputs/1-dbpedia/adapter,logs_and_outputs/l2p/order1_batch1_token100/outputs/4-agnews/adapter,0.0,2-amazon,47.1842,47.1842,20.8553,73.5132,,20.8553,73.5132,,56.5351,37.7465,75.3237,,37.7465,75.3237,
logs_and_outputs/l2p/order1_batch1_token100/outputs/1-dbpedia/adapter,logs_and_outputs/l2p/order1_batch1_token100/outputs/4-agnews/adapter,0.0,3-yahoo,47.0737,49.9868,20.8553,64.5526,,20.8553,73.5132,55.5921,56.2412,37.7465,65.4886,,37.7465,75.3237,55.6535
logs_and_outputs/l2p/order1_batch1_token100/outputs/1-dbpedia/adapter,logs_and_outputs/l2p/order1_batch1_token100/outputs/4-agnews/adapter,0.0,4-agnews,53.7705,57.8849,20.8553,70.2281,81.5789,20.8553,73.5132,55.5921,62.5757,37.7465,70.852,81.5789,37.7465,75.3237,55.6535
logs_and_outputs/l2p/order1_batch1_token100/outputs/1-dbpedia/adapter,logs_and_outputs/l2p/order1_batch1_token100/outputs/4-agnews/adapter,0.25,1-dbpedia,78.1711,78.1711,,78.1711,,,78.1711,,78.1816,,78.1816,,,78.1816,
logs_and_outputs/l2p/order1_batch1_token100/outputs/1-dbpedia/adapter,logs_and_outputs/l2p/order1_batch1_token100/outputs/4-agnews/adapter,0.25,2-amazon,50.2171,50.2171,22.2632,78.1711,,22.2632,78.1711,,53.8452,29.5088,78.1816,,29.5088,78.1816,
logs_and_outputs/l2p/order1_batch1_token100/outputs/1-dbpedia/adapter,logs_and_outputs/l2p/order1_batch1_token100/outputs/4-agnews/adapter,0.25,3-yahoo,48.0829,50.9518,22.2632,65.2961,,22.2632,78.1711,52.4211,53.3902,29.5088,65.3309,,29.5088,78.1816,52.4803
logs_and_outputs/l2p/order1_batch1_token100/outputs/1-dbpedia/adapter,logs_and_outputs/l2p/order1_batch1_token100/outputs/4-agnews/adapter,0.25,4-agnews,51.8772,55.5789,22.2632,66.6842,69.4605,22.2632,78.1711,52.4211,57.4078,29.5088,66.7075,69.4605,29.5088,78.1816,52.4803
logs_and_outputs/l2p/order1_batch1_token100/outputs/1-dbpedia/adapter,logs_and_outputs/l2p/order1_batch1_token100/outputs/4-agnews/adapter,0.5,1-dbpedia,75.2105,75.2105,,75.2105,,,75.2105,,75.2105,,75.2105,,,75.2105,
logs_and_outputs/l2p/order1_batch1_token100/outputs/1-dbpedia/adapter,logs_and_outputs/l2p/order1_batch1_token100/outputs/4-agnews/adapter,0.5,2-amazon,48.3618,48.3618,21.5132,75.2105,,21.5132,75.2105,,50.0904,24.9702,75.2105,,24.9702,75.2105,
logs_and_outputs/l2p/order1_batch1_token100/outputs/1-dbpedia/adapter,logs_and_outputs/l2p/order1_batch1_token100/outputs/4-agnews/adapter,0.5,3-yahoo,45.0908,47.7105,21.5132,60.8092,,21.5132,75.2105,46.4079,48.9504,24.9702,60.9406,,24.9702,75.2105,46.6706
logs_and_outputs/l2p/order1_batch1_token100/outputs/1-dbpedia/adapter,logs_and_outputs/l2p/order1_batch1_token100/outputs/4-agnews/adapter,0.5,4-agnews,47.367,50.5987,21.5132,60.2939,59.2632,21.5132,75.2105,46.4079,51.5286,24.9702,60.3814,59.2632,24.9702,75.2105,46.6706
